equipment,equipment.1
numberOfClubs,number of clubs
numberOfPeopleLicensed,number of licensed
numberOfPlayers,number of players
numberOfProfessionals,number of professionals
endYearOfSales,end year of sales
equipment,equipment
model,model
numberSold,number sold
startYearOfSales,start year of sales
usSales,US sales
currentWorldChampion,current world champion
firstOlympicEvent,first olympic event
footedness,Footedness
abbreviation,abbreviation
abstract,has abstract
access,access
accessDate,access date
activeYearsEndDate,active years end date
activeYearsEndYear,active years end year
activeYearsStartDate,active years start date
activeYearsStartYear,active years start year
administrativeStatus,administrative status
affiliation,affiliation
ageRange,age range
agglomerationPopulationTotal,agglomeration population total
aitaCode,aita code
album,album
alias,alias
alongside,alongside
alternativeName,alternative name
animal,animal
anthem,anthem
apcPresident,apc president
appearance,appearance
appointer,appointer
area,area
areaMetro,area metro
asWikiText,Contains a WikiText representation of this thing
ascent,ascent
associate,associate
associateStar,associateStar
associatedBand,associated band
associatedMusicalArtist,associated musical artist
atcCode,ATC code
atcPrefix,ATC prefix
atcSuffix,ATC suffix
authority,authority
autonomy,autonomy
average,average
averageSpeed,average speed
award,award
awayColourHexCode,colour hex code of away jersey or its parts
background,background
battery,battery
battle,battle
bibsysId,BIBSYS Id
biome,biome
blazon,blazon
blazonLink,blazon link
blazonRatio,blazon ratio
bnfId,BNF Id
book,name
border,border
bpnId,BPN Id
budget,budget
builder,builder
buildingEndDate,building end date
buildingStartDate,building start date
calculationNeeds,its calculation needs
callSign,call sign
capacity,capacity
casNumber,CAS number
casSupplemental,CAS supplemental
category,category
chain,chain
chairLabel,chair label
chairman,chairman
chancellor,chancellor
channel,channel
chiefPlace,chief place
city,city
class,class
classification,classification
closingDate,closing date
closingYear,closing year
coach,coach
coachedTeam,coached team
coatOfArms,coat of arms image
code,code
collectionSize,country
colour,colour
colourHexCode,colour hex code
colourName,colour name
commandant,commandant
commander,commander
comment,comment
committee,committee
commonName,common name
company,company
conflict,conflict
connotation,connotation
constituencyDistrict,constituency district
cosparId,COSPAR id
cost,cost
country,country
county,county
courseArea,course area
cpu,CPU
creationYear,year of creation
creator,creator (agent)
crest,crest
criteria,criteria
cuisine,cuisine
currency,currency
currentCity,current city
currentStatus,current status
date,date
dateBudget,date budget
dateOfAbandonment,date of abandonment
dc:creator,creator (literal)
dc:identifier,identifier
dc:language,language (literal)
dc:rights,rights
dc:subject,subject
dc:title,title
dc:type,type (literal)
dct:created,Date or range when this object was created
dct:dateSubmitted,date submitted
dct:description,Description
dct:extent,medium
dct:format,format (literal)
dct:medium,medium
dct:modified,modified
dct:spatial,spatial
dct:subject,subject
dct:temporal,temporal
dct:type,type
deFactoLanguage,de facto language
deliveryDate,delivery date
demonym,demonym
density,density
depictionDescription,depiction description (caption)
deputy,deputy
description,description
designCompany,designer company
designer,designer
destructionDate,destruction date
developer,developer
diameter,diameter
diocese,diocese
discoverer,discoverer
disease,disease
distance,distance
distributor,distributor
division,division
documentDesignation,String designation of the WrittenWork describing the resource
draft,draft
draftYear,draft year
drugbank,DrugBank
duration,duration
dynasty,dynasty
editor,editor
einecsNumber,EINECS number
electionMajority,election majority
elementAbove,element above
endOccupation,end occupation
endYear,end year
engineer,engineer
era,era
ethnicGroupsInYear,ethnic groups in year
event,event
executiveProducer,executive producer
exhibition,exhibition
existence,existence
extinctionDate,extinction date
failedLaunches,failed launches
fdaUniiCode,FDA UNII code
feastDay,"feast day, holiday"
fighter,fighter
filmPolskiId,FilmPolski.pl id
firstLeader,firstLeader
firstOwner,first owner
firstPlace,first place
firstPopularVote,firstPopularVote
flag,flag (image)
flagBorder,flag border
flagLink,flag Link
floodingDate,flooding date
foaf:based_near,based near
foaf:depiction,depiction from http://xmlns.com/foaf/spec/#term_depiction
foaf:familyName,family name
foaf:gender,gender
foaf:givenName,given name
foaf:img,image
foaf:isPrimaryTopicOf,A document that this thing is the primary topic of.
foaf:logo,logo
foaf:mbox,Email address (mbox)
foaf:name,name
foaf:nick,nickname
foaf:page,A page or document about this thing.
foaf:phone,Telephone (phone) number
foaf:surname,surname
foaf:thumbnail,thumbnail
foaf:topic,A topic of some page or document.
focus,focus
followedBy,followed by
follows,follows
forces,forces
format,format (object)
formerName,former name
foundedBy,founded by
founder,founder
foundingDate,founding date
foundingYear,founding year
frequency,frequency
fuel,fuel
fuelType,fuel type
gameModus,Modus the game can be played in
gender,gender
genre,genre
geology,geology
governmentType,government type
governor,governor
governorGeneral,governor general
greekName,name in ancient Greek
hasChannel,has channel
hasInput,has input
hasSurfaceForm,undefined
hasVariant,variant or variation
height,height
highestMountain,highest mountain
highestPlace,highest place
highestPosition,highest position
highschool,highschool
homeArena,home arena
homeColourHexCode,colour hex code of home jersey or its parts
homeStadium,home stadium
honours,honours
imageSize,image size (px)
imdbId,IMDB id
incumbent,incumbent
individualisedGnd,individualised GND number
influenced,influenced
influencedBy,influenced by
inscription,inscription
institution,institution
intercommunality,intercommunality
introduced,introduced
isPartOf,is part of
isPartOfName,is part of (literal)
isniId,ISNI Id
jureLanguage,jure language
jurisdiction,jurisdiction
keyPerson,key person
kinOfLanguage,kindOfLanguage
knownFor,known for
language,language
languageRegulator,language regulator or academy
latinName,name in latin
lccnId,LCCN Id
leader,leader
league,league
length,length
licensee,licensee
lieutenant,lieutenant
listItemOf,list item
localAuthority,local authority
location,location
locationName,locationName
logo,logo
longName,longName
mainInterest,main interest
majorityFloorLeader,majority floor leader
majorityLeader,majority leader
management,management
managementElevation,management elevation
managementMountain,management mountain
managementPlace,management place
managementPosition,management position
managerYearsEndYear,manager years end year
managerYearsStartYear,manager years start year
mandate,political mandate
manufactory,manufactory
manufacturer,manufacturer
mascot,mascot
mass,mass
material,material
max,max
maximumDischarge,maximum discharge
mayor,mayor
mayorCouncillor,mayor councillor
mbaId,MBA Id
meaning,meaning
mediaItem,media item
medlinePlus,MedlinePlus
meltingPoint,melting point
memberOfParliament,Member of Parliament
militaryGovernment,military government
militaryUnitSize,military unit size
min,min
minimumDischarge,minimum discharge
minister,minister
minorityFloorLeader,minority floor leader
minorityLeader,minority leader
mission,mission
monarch,monarch
month,month
motto,motto
mouthElevation,mouth elevation
municipality,municipality
name,name
nameAsOf,so named since
nameInCantoneseChinese,name in Yue Chinese
nameInHangulKorean,name in Hangul-written Korean
nameInHanjaKorean,name in Hanja-written (traditional) Korean
nameInJapanese,name in Japanese
nameInMindongyuChinese,name in Mindongyu Chinese
nameInMinnanyuChinese,name in Minnanyu Chinese
nameInPinyinChinese,name in Pinyin Chinese
nameInSimplifiedChinese,name in Simplified Chinese
nameInTraditionalChinese,name in Traditional Chinese
nameInWadeGilesChinese,name in the Wade-Giles transscription of Chinese
namedAfter,named after
ndlId,NDL id
newspaper,newspaper
nlaId,NLA Id
nominee,nominee
notableWork,notable work
notes,notes
numberOfClasses,numberOfClasses
numberOfClassesWithResource,numberOfClassesWithResource
numberOfDisambiguates,numberOfDisambiguates
numberOfIndegree,number of all indegrees in dbpedia (same ourdegrees are counting repeatedly)
numberOfOutdegree,numberOfOutdegree
numberOfPixels,number of pixels (millions)
numberOfPredicates,numberOfPredicates
numberOfProperties,numberOfProperties
numberOfPropertiesUsed,numberOfPropertiesUsed
numberOfRedirectedResource,numberOfRedirectedResource
numberOfResource,numberOfResource
numberOfResourceOfClass,number of all resource / entities of a class
numberOfResourceOfType,number of resource / entities for concrete type of subject
numberOfResourceWithType,nmberOfResourceWithType
numberOfSports,number of sports
numberOfSportsEvents,number of sports events
numberOfTriples,numberOfTriples
numberOfUniqeResources,numberOfUniqeResources
numberOfUseOfProperty,number of use of a property
numberOfVisitors,number of visitors
occupation,occupation
odor,Odor
office,(political) office
openingDate,opening date
openingYear,opening year
operator,operator
orbits,orbits
orcidId,ORCID Id
orderInOffice,order in office
organisation,organisation
origin,origin
originalName,original name
originallyUsedFor,originally used for
orogeny,orogeny
owl:differentFrom,An owl:differentFrom statement indicates that two URI references refer to different individuals
owl:sameAs,same as
owner,owner
owningCompany,owning company
owningOrganisation,owning organisation
parentCompany,parent company
parliament,parliament
part,part
partialFailedLaunches,partial failed launches
party,party
partyNumber,party number
pastMember,past member
patronSaint,patron saint
pccSecretary,pcc secretary
percentage,percentage
percentageOfAreaWater,percentage of area water
period,event period
picture,picture
pictureDescription,picture description
picturesCommonsCategory,pictures Commons category
playRole,play role
playingTime,playing time
pole,pole
populationTotal,population total
portfolio,portfolio
position,position
postalCode,postal code
predecessor,predecessor
prefix,prefix
president,president
price,price
primeMinister,prime minister
produces,produces
productionEndDate,production end date
productionEndYear,production end year
productionStartDate,production start date
productionStartYear,production start year
prominence,prominence
pronunciation,pronunciation
provides,provides
publicationDate,publication date
publiclyAccessible,publicly accessible
purpose,purpose
quotation,quotation
race,race
raceHorse,race horse
rank,rank
rating,rating
rdf:type,undefined
rdfs:comment,undefined
rdfs:label,undefined
rdfs:seeAlso,is used to indicate a resource that might provide additional information about the subject resource
rdfs:subClassOf,subclass of
rebuildDate,rebuild date
recordLabel,record label
region,region
registry,registry
related,related
releaseDate,release date
religion,religion
religiousHead,religious head
reopened,reopened
requirement,requirement
restoreDate,restore date
restriction,restriction
retired,retired
ridId,RID Id
rkdArtistsId,RKDartists id
role,role
royalAnthem,royal anthem
runningMate,running mate
sales,sales
score,score
secondLeader,secondLeader
secondPlace,second place
secondPopularVote,secondPopularVote
selibrId,SELIBR Id
senator,senator
seniority,seniority
series,series
sessionNumber,session number
setupTime,setup time
show,show
similar,similar
siren,siren number
sizeBlazon,size blazon
sizeLogo,size logo
sizeMap,size map
sizeThumbnail,size thumbnail
skills,skills
skos:broader,broader
skos:prefLabel,prefLabel
skos:related,related
slogan,slogan
soundRecording,sound recording
source,source
sourceConfluenceElevation,source confluence elevation
sourceDistrict,source district
sourceElevation,source elevation
sourceMountain,source mountain
sourcePlace,source place
sourcePosition,source position
sourceRegion,source region
sourceState,source state
sourceText,sourceText
speaker,speaker
specialist,specialist
specialization,specialization
sport,sport
sportGoverningBody,sport governing body
stadium,Stadium
startOccupation,start occupation
startYear,start year
statName,stat name
statValue,stat value
state,state
stateDelegate,state delegate
status,status
subdivision,subdivision
subdivisions,subdivisions
sublimationPoint,sublimation point
subtitle,subtitle
successfulLaunches,successful launches
successor,successor
